id,StateCode,GroupCode,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
7473,55,435,30,5887,0.21,0.1
7474,55,443,215,44796,1.58,0.76
7475,55,FGN,6,,,
7476,55,445,2,57,0,0
7477,55,449,452,72792,2.57,1.24
7478,55,454,96,,,
7479,55,455,1,89,0,0
7480,55,124,5,,,
7481,55,237,2,23,0,0
7482,55,892,11,7400,0.26,0.13
7483,55,179,8,,,
7484,55,463,7,882,0.03,0.01
7485,55,FJ3,5,1610,0.06,0.03
7486,55,467,27,4336,0.15,0.07
7487,55,469,393,209788,7.41,3.56
7488,56,003,2,250,0.11,0.04
7489,56,016,1,63,0.03,0.01
7490,56,284,1,,,
7491,56,017,3,566,0.24,0.1
7492,56,019,15,2133,0.92,0.37
7493,56,031,2,259,0.11,0.04
7494,56,033,3,,,
7495,56,FG2,1,,,
7496,56,034,1,40,0.02,0.01
7497,56,053,40,3888,1.67,0.67
7498,56,056,4,295,0.13,0.05
7499,56,063,3,,,
7500,56,071,1,,,
7501,56,081,65,69500,29.83,12.05
7502,56,FGS,1,,,
7503,56,089,13,2519,1.08,0.44
7504,56,093,4,1183,0.51,0.21
7505,56,097,14,1206,0.52,0.21
7506,56,143,1,125,0.05,0.02
7507,56,111,1,,,
7508,56,F53,1,,,
7509,56,123,7,4208,1.81,0.73
7510,56,127,1,16,0.01,0
7511,56,141,4,488,0.21,0.08
7512,56,145,5,,,
7513,56,151,172,67729,29.07,11.74
7514,56,164,2,,,
7515,56,165,18,1306,0.56,0.23
7516,56,167,28,1789,0.77,0.31
7517,56,173,2,,,
7518,56,057,10,,,
7519,56,193,45,6123,2.63,1.06
7520,56,FG8,1,,,
7521,56,197,3,297,0.13,0.05
7522,56,203,9,,,
7523,56,207,20,4496,1.93,0.78
7524,56,216,2,,,
7525,56,263,11,1620,0.7,0.28
7526,56,FGM,2,,,
7527,56,243,1,,,
7528,56,246,4,345,0.15,0.06
7529,56,896,1,,,
7530,56,272,26,4618,1.98,0.8
7531,56,283,40,6534,2.8,1.13
7532,56,255,1,24,0.01,0
7533,56,267,3,226,0.1,0.04
7534,56,175,1,24,0.01,0
7535,56,223,1,48,0.02,0.01
7536,56,300,1,100,0.04,0.02
7537,56,302,5,1000,0.43,0.17
7538,56,F31,3,253,0.11,0.04
7539,56,308,2,,,
7540,56,500,103,23410,10.05,4.06
7541,56,314,2,,,
7542,56,FFH,2,,,
7543,56,335,1,,,
7544,56,355,28,3144,1.35,0.55
7545,56,356,3,259,0.11,0.04
7546,56,F41,3,,,
7547,56,373,2,126,0.05,0.02
7548,56,383,1,36,0.02,0.01
7549,56,FHG,1,,,
7550,56,403,3,300,0.13,0.05
7551,56,413,19,1324,0.57,0.23
7552,56,419,100,11082,4.76,1.92
7553,56,F54,1,,,
7554,56,435,4,304,0.13,0.05
7555,56,443,9,861,0.37,0.15
7556,56,449,37,5478,2.35,0.95
7557,56,454,14,,,
7558,56,892,1,100,0.04,0.02
7559,56,179,7,,,
7560,56,FJ3,0,5,0,0
7561,56,467,4,2666,1.14,0.46
7562,56,469,5,650,0.28,0.11
