id,GroupCode,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
240,302,7564,2428820,1.51,0.73
241,304,130,35426,0.02,0.01
242,303,63,,,
243,F31,78,7508,0,0
244,FHP,8,289,0,0
245,307,16,,,
246,309,187,,,
247,308,119,,,
248,500,44319,21095641,13.08,6.36
249,313,270,,,
250,314,441,,,
251,315,9,,,
252,F32,10,,,
253,FD2,9,823,0,0
254,FFY,22,397,0,0
255,FFH,28,,,
256,FHS,5,292,0,0
257,FHT,3,427,0,0
258,FD3,2,296,0,0
259,FF2,47,6644,0,0
260,F35,35,3430,0,0
261,C51,4,283,0,0
262,324,5,688,0,0
263,FD4,3,152,0,0
264,329,242,31068,0.02,0.01
265,FF3,2,531,0,0
266,FGA,19,,,
267,331,560,74449,0.05,0.02
268,276,914,941480,0.58,0.28
269,FFC,2,,,
270,FHU,2,284,0,0
271,FFN,6,,,
272,335,336,,,
273,400,30,9773,0.01,0
274,D71,108,54934,0.03,0.02
275,339,990,,,
276,347,32,,,
277,F38,31,3096,0,0
278,350,6,,,
279,FF4,1,222,0,0
280,352,97,,,
281,355,8851,1491775,0.93,0.45
282,356,1873,372696,0.23,0.11
283,354,5,,,
284,361,448,42196,0.03,0.01
285,362,36,3404,0,0
286,363,59,,,
287,364,363,254571,0.16,0.08
288,365,33,,,
289,369,30,8411,0.01,0
290,275,90,39441,0.02,0.01
291,271,690,662104,0.41,0.2
292,F41,42,,,
293,FGB,4,,,
294,371,912,235195,0.15,0.07
295,373,47,3550,0,0
296,FFB,1,26,0,0
297,375,114,,,
298,379,7,127,0,0
299,380,12,,,
300,383,91,6647,0,0
301,382,15,,,
302,384,38,4784,0,0
303,FHM,7,806,0,0
304,FHG,32,,,
305,FF5,2,686,0,0
306,395,31,6289,0,0
307,401,199,23360,0.01,0.01
308,403,1133,141098,0.09,0.04
309,FFZ,24,587,0,0
310,FJ1,8,731,0,0
311,FJ2,69,8310,0.01,0
312,405,4,2471,0,0
313,410,121,59508,0.04,0.02
314,415,79,4512,0,0
315,413,5989,1339830,0.83,0.4
316,408,9,,,
317,FG1,4,289,0,0
318,FD5,6,494,0,0
319,F48,16,1307,0,0
320,419,51379,17649040,10.95,5.32
321,F49,10,,,
322,421,73,,,
323,F51,65,,,
324,FHV,7,674,0,0
325,414,17,3740,0,0
326,239,29,856,0,0
327,423,47,12088,0.01,0
328,F52,8,,,
329,424,18,4092,0,0
330,425,22,,,
331,F54,320,,,
332,891,566,291413,0.18,0.09
333,FGQ,29,,,
334,431,89,14971,0.01,0
335,432,34,2315,0,0
336,FHH,7,1421,0,0
337,FHF,86,7975,0,0
338,FD6,8,558,0,0
339,389,6,557,0,0
340,FHR,3,451,0,0
341,FER,45,,,
342,FGV,51,,,
343,437,55,,,
344,435,1004,201541,0.13,0.06
345,F57,29,,,
346,439,5,800,0,0
347,443,4793,924744,0.57,0.28
348,FGN,186,,,
349,FG5,24,,,
350,445,352,17832,0.01,0.01
351,F58,134,21857,0.01,0.01
352,449,30051,8018629,4.97,2.42
353,454,4549,,,
354,455,88,15541,0.01,0
355,459,9,523,0,0
356,124,578,,,
357,461,24,,,
358,237,218,43308,0.03,0.01
359,892,449,200039,0.12,0.06
360,FFQ,18,,,
361,462,36,,,
362,179,748,,,
363,463,499,155836,0.1,0.05
364,FD7,17,3096,0,0
365,FJ3,50,18573,0.01,0.01
366,467,1463,306005,0.19,0.09
367,FD8,11,997,0,0
368,FJ5,2,,,
369,469,1198,408259,0.25,0.12
370,FD9,5,644,0,0
371,FE1,10,1753,0,0
372,490,33,,,
