CBSACode,MetroName,GroupCode,GroupName,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
10100,Aberdeen SD Micro Area,019,American Baptist Churches in the USA,2,404,1.29,0.96
10100,Aberdeen SD Micro Area,045,Apostolic Lutheran Church of America,1,,,
10100,Aberdeen SD Micro Area,053,Assemblies of God,2,690,2.20,1.63
10100,Aberdeen SD Micro Area,056,"Baha'i Faith USA",0,8,0.03,0.02
10100,Aberdeen SD Micro Area,081,Catholic Church,7,12083,38.52,28.57
10100,Aberdeen SD Micro Area,089,Christian and Missionary Alliance,3,313,1.00,0.74
10100,Aberdeen SD Micro Area,127,Church of God (Cleveland Tennessee),2,20,0.06,0.05
10100,Aberdeen SD Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,369,1.18,0.87
10100,Aberdeen SD Micro Area,164,Church of the Lutheran Confession,3,,,
10100,Aberdeen SD Micro Area,165,Church of the Nazarene,3,340,1.08,0.80
10100,Aberdeen SD Micro Area,167,Churches of Christ,1,25,0.08,0.06
10100,Aberdeen SD Micro Area,270,Conservative Judaism,1,22,0.07,0.05
10100,Aberdeen SD Micro Area,193,Episcopal Church,1,67,0.21,0.16
10100,Aberdeen SD Micro Area,203,Evangelical Free Church of America,1,,,
10100,Aberdeen SD Micro Area,Evangelical Lutheran Church in America,11,7129,22.73,16.86
10100,Aberdeen SD Micro Area,272,""Jehovah's Witnesses"",1,226,0.72,0.53
10100,Aberdeen SD Micro Area,283,Lutheran Church--Missouri Synod,8,2775,8.85,6.56
10100,Aberdeen SD Micro Area,255,Lutheran Congregations in Mission for Christ,3,104,0.33,0.25
10100,Aberdeen SD Micro Area,267,Muslim Estimate,1,95,0.30,0.22
10100,Aberdeen SD Micro Area,500,Non-denominational Christian Churches,16,2450,7.81,5.79
10100,Aberdeen SD Micro Area,313,North American Baptist Conference,1,,,
10100,Aberdeen SD Micro Area,FFH,Old Apostolic Lutheran Church of America,1,,,
10100,Aberdeen SD Micro Area,355,Presbyterian Church (U.S.A.),2,164,0.52,0.39
10100,Aberdeen SD Micro Area,373,Reformed Church in the United States,1,109,0.35,0.26
10100,Aberdeen SD Micro Area,403,Salvation Army,1,100,0.32,0.24
10100,Aberdeen SD Micro Area,FJ1,Schmiedeleut Hutterite Group 1,1,78,0.25,0.18
10100,Aberdeen SD Micro Area,FJ2,Schmiedeleut Hutterite Group 2,4,479,1.53,1.13
10100,Aberdeen SD Micro Area,413,Seventh-day Adventist Church,2,172,0.55,0.41
10100,Aberdeen SD Micro Area,419,Southern Baptist Convention,1,80,0.26,0.19
10100,Aberdeen SD Micro Area,443,United Church of Christ,5,463,1.48,1.09
10100,Aberdeen SD Micro Area,449,United Methodist Church,8,1644,5.24,3.89
10100,Aberdeen SD Micro Area,454,United Pentecostal Church International,1,,,
10100,Aberdeen SD Micro Area,467,Wesleyan Church,2,190,0.61,0.45
10100,Aberdeen SD Micro Area,469,Wisconsin Evangelical Lutheran Synod,3,768,2.45,1.82
10140,Aberdeen WA Micro Area,019,American Baptist Churches in the USA,1,48,0.22,0.06
10140,Aberdeen WA Micro Area,053,Assemblies of God,10,1246,5.80,1.65
10140,Aberdeen WA Micro Area,056,""Baha'i Faith USA"",1,61,0.28,0.08
10140,Aberdeen WA Micro Area,084,Calvary Chapel Fellowship Churches,1,,,
10140,Aberdeen WA Micro Area,081,Catholic Church,7,5060,23.54,6.69
10140,Aberdeen WA Micro Area,089,Christian and Missionary Alliance,1,37,0.17,0.05
10140,Aberdeen WA Micro Area,353,Christian Brethren (Open Plymouth Brethren),2,,,
10140,Aberdeen WA Micro Area,123,Church of God (Anderson Indiana),3,370,1.72,0.49
10140,Aberdeen WA Micro Area,151,Church of Jesus Christ of Latter-day Saints,5,2625,12.21,3.47
10140,Aberdeen WA Micro Area,165,Church of the Nazarene,1,44,0.20,0.06
10140,Aberdeen WA Micro Area,167,Churches of Christ,3,98,0.46,0.13
10140,Aberdeen WA Micro Area,173,Community of Christ,1,,,
10140,Aberdeen WA Micro Area,057,Converge Worldwide / Baptist General Conference,3,,,
10140,Aberdeen WA Micro Area,FFW,ECO: A Covenant Order of Presbyterians,1,,,
10140,Aberdeen WA Micro Area,193,Episcopal Church,3,136,0.63,0.18
10140,Aberdeen WA Micro Area,207,Evangelical Lutheran Church in America,4,545,2.54,0.72
10140,Aberdeen WA Micro Area,263,Foursquare Gospel International Church of the,1,300,1.40,0.40
10140,Aberdeen WA Micro Area,221,Free Methodist Church--USA,1,41,0.19,0.05
10140,Aberdeen WA Micro Area,272,""Jehovah's Witnesses"",4,914,4.25,1.21
10140,Aberdeen WA Micro Area,283,Lutheran Church--Missouri Synod,1,84,0.39,0.11
10140,Aberdeen WA Micro Area,500,Non-denominational Christian Churches,14,7970,37.08,10.54
10140,Aberdeen WA Micro Area,329,Open Bible Churches,1,,,
10140,Aberdeen WA Micro Area,355,Presbyterian Church (U.S.A.),4,159,0.74,0.21
10140,Aberdeen WA Micro Area,403,Salvation Army,1,44,0.20,0.06
10140,Aberdeen WA Micro Area,413,Seventh-day Adventist Church,2,381,1.77,0.50
10140,Aberdeen WA Micro Area,419,Southern Baptist Convention,5,454,2.11,0.60
10140,Aberdeen WA Micro Area,449,United Methodist Church,8,877,4.08,1.16
10140,Aberdeen WA Micro Area,454,United Pentecostal Church International,3,,,
10180,Abilene TX Metro Area,003,African Methodist Episcopal Church,2,202,0.19,0.11
10180,Abilene TX Metro Area,017,American Baptist Association,1,80,0.08,0.05
10180,Abilene TX Metro Area,033,Anglican Church in North America,1,,,
10180,Abilene TX Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,45,0.04,0.03
10180,Abilene TX Metro Area,053,Assemblies of God,15,2461,2.32,1.39
10180,Abilene TX Metro Area,056,""Baha'i Faith USA"",0,68,0.06,0.04
10180,Abilene TX Metro Area,059,Baptist Missionary Association of America,4,,,
10180,Abilene TX Metro Area,E54,Bible Way Church of Our Lord Jesus Christ World Wide Inc.,1,80,0.08,0.05
10180,Abilene TX Metro Area,081,Catholic Church,9,12877,12.13,7.29
10180,Abilene TX Metro Area,087,Christadelphian,1,,,
10180,Abilene TX Metro Area,093,Christian Church (Disciples of Christ),3,381,0.36,0.22
10180,Abilene TX Metro Area,101,Christian Methodist Episcopal Church,1,126,0.12,0.07
10180,Abilene TX Metro Area,127,Church of God (Cleveland Tennessee),4,208,0.20,0.12
10180,Abilene TX Metro Area,141,Church of God in Christ,2,326,0.31,0.18
10180,Abilene TX Metro Area,145,Church of God of Prophecy,1,,,
10180,Abilene TX Metro Area,151,Church of Jesus Christ of Latter-day Saints,4,1812,1.71,1.03
10180,Abilene TX Metro Area,165,Church of the Nazarene,4,366,0.34,0.21
10180,Abilene TX Metro Area,167,Churches of Christ,53,11461,10.80,6.49
10180,Abilene TX Metro Area,193,Episcopal Church,2,1228,1.16,0.70
10180,Abilene TX Metro Area,203,Evangelical Free Church of America,1,,,
